"","column_names","column_sums","avg_rat","week"
"8.511","08:30",1947,3.79340277777778,"Friday"
"911","09:00",3027,3.79959919839679,"Friday"
"9.511","09:30",3121,3.86046511627907,"Friday"
"1011","10:00",4187,3.83363802559415,"Friday"
"10.511","10:30",4464,3.73919308357349,"Friday"
"1111","11:00",10058,3.81678607983623,"Friday"
"11.511","11:30",10878,3.84540389972145,"Friday"
"1211","12:00",11855,3.80947075208914,"Friday"
"12.511","12:30",11855,3.86104114189756,"Friday"
"1311","13:00",11966,3.87020741671904,"Friday"
"13.511","13:30",11949,3.86997572160777,"Friday"
"1411","14:00",12148,3.86015891032917,"Friday"
"14.511","14:30",12038,3.87389844733529,"Friday"
"1511","15:00",12466,3.87067786677085,"Friday"
"15.511","15:30",12304,3.89705074189412,"Friday"
"1611","16:00",13454,3.90421992645771,"Friday"
"16.511","16:30",13528,3.92763048190762,"Friday"
"1711","17:00",14611,3.90562994031295,"Friday"
"17.511","17:30",14309,3.86924903532205,"Friday"
"1811","18:00",14370,3.8743961352657,"Friday"
"18.511","18:30",13655,3.89802022503917,"Friday"
"1911","19:00",13654,3.89283085529221,"Friday"
"19.511","19:30",12767,3.87374461979914,"Friday"
"2011","20:00",12773,3.89341085271318,"Friday"
"20.511","20:30",11803,3.9043567551709,"Friday"
"2111","21:00",11734,3.9002994011976,"Friday"
"21.511","21:30",10242,3.87995777409139,"Friday"
"2211","22:00",9983,3.87096774193548,"Friday"
"22.511","22:30",7642,3.85188797547722,"Friday"
"2311","23:00",7263,3.84857217710244,"Friday"
"23.511","23:30",5478,3.82285997031173,"Friday"
"021","00:00",4229,3.78230254664945,"Saturday"
"0.521","00:30",3405,3.76313494658818,"Saturday"
"1121","01:00",3122,3.71142175986129,"Saturday"
"1.521","01:30",1242,3.71717690569139,"Saturday"
"251","02:00",1186,3.69261073253833,"Saturday"
"2.521","02:30",322,3.73453908984831,"Saturday"
"321","03:00",310,3.70975292587776,"Saturday"
"3.521","03:30",224,3.6801933782596,"Saturday"
"421","04:00",234,3.67950458092976,"Saturday"
"4.521","04:30",208,3.63502358490566,"Saturday"
"521","05:00",269,3.63577799801784,"Saturday"
"5.521","05:30",265,3.64287920914427,"Saturday"
"621","06:00",384,3.63238967527061,"Saturday"
"6.521","06:30",431,3.55326814204838,"Saturday"
"721","07:00",822,3.51862464183381,"Saturday"
"7.521","07:30",899,3.50571679859279,"Saturday"
"821","08:00",1761,3.55649038461538,"Saturday"
"8.521","08:30",1873,3.41255605381166,"Saturday"
"921","09:00",3202,3.49522292993631,"Saturday"
"9.521","09:30",3293,3.71028037383178,"Saturday"
"1021","10:00",4510,3.7093023255814,"Saturday"
"10.521","10:30",4771,3.67885117493473,"Saturday"
"1131","11:00",10035,3.77479147358665,"Saturday"
"11.521","11:30",10723,3.81230382925298,"Saturday"
"1221","12:00",12201,3.77989130434783,"Saturday"
"12.521","12:30",12164,3.79019607843137,"Saturday"
"1321","13:00",12343,3.7879679144385,"Saturday"
"13.521","13:30",12294,3.82920847268673,"Saturday"
"1421","14:00",12490,3.84936153232243,"Saturday"
"14.521","14:30",12290,3.85383656756276,"Saturday"
"1521","15:00",12570,3.85577407967726,"Saturday"
"15.521","15:30",12291,3.88059701492537,"Saturday"
"1621","16:00",13096,3.88914129940936,"Saturday"
"16.521","16:30",12902,3.90320314695139,"Saturday"
"1721","17:00",13862,3.90975739802719,"Saturday"
"17.521","17:30",13447,3.90409719529533,"Saturday"
"1821","18:00",13557,3.87042288250524,"Saturday"
"18.521","18:30",13011,3.88173564438156,"Saturday"
"1921","19:00",13064,3.88210673177537,"Saturday"
"19.521","19:30",12583,3.87463624723548,"Saturday"
"2021","20:00",12602,3.8559252772913,"Saturday"
"20.521","20:30",11849,3.85927727588603,"Saturday"
"2121","21:00",11803,3.84249000571102,"Saturday"
"21.521","21:30",10404,3.82983264068292,"Saturday"
"2221","22:00",10141,3.82550189907759,"Saturday"
"22.521","22:30",7765,3.80737356566086,"Saturday"
"2321","23:00",7378,3.79851505288853,"Saturday"
"23.521","23:30",5561,3.77891221374046,"Saturday"
"03","00:00",2259,3.74867700306378,"Sunday"
"0.53","00:30",1891,3.73575408952004,"Sunday"
"114","01:00",1825,3.71039063182732,"Sunday"
"1.53","01:30",764,3.72228088701162,"Sunday"
"26","02:00",739,3.67807419383814,"Sunday"
"2.53","02:30",234,3.68356137984197,"Sunday"
"33","03:00",227,3.61821421085726,"Sunday"
"3.53","03:30",193,3.65579368817711,"Sunday"
"43","04:00",203,3.62065079588674,"Sunday"
"4.53","04:30",197,3.57332214765101,"Sunday"
"53","05:00",260,3.56201232032854,"Sunday"
"5.53","05:30",259,3.53261143288844,"Sunday"
"63","06:00",341,3.55533465871438,"Sunday"
"6.53","06:30",381,3.49247661651078,"Sunday"
"73","07:00",649,3.47297297297297,"Sunday"
"7.53","07:30",691,3.40909090909091,"Sunday"
"83","08:00",1126,3.5140712945591,"Sunday"
"8.53","08:30",1167,3.55361596009975,"Sunday"
"93","09:00",1855,3.52488687782805,"Sunday"
"9.53","09:30",1927,3.58409785932722,"Sunday"
"103","10:00",3211,3.58519793459552,"Sunday"
"10.53","10:30",3432,3.6551724137931,"Sunday"
"115","11:00",8031,3.68846815834768,"Sunday"
"11.53","11:30",8572,3.6952380952381,"Sunday"
"123","12:00",10491,3.74538590604027,"Sunday"
"12.53","12:30",10496,3.77899002493766,"Sunday"
"133","13:00",10710,3.80004682744088,"Sunday"
"13.53","13:30",10674,3.83314087759815,"Sunday"
"143","14:00",10865,3.7778156996587,"Sunday"
"14.53","14:30",10680,3.81675150393336,"Sunday"
"153","15:00",10914,3.77284157585918,"Sunday"
"15.53","15:30",10581,3.8412904904384,"Sunday"
"163","16:00",11179,3.81886697651049,"Sunday"
"16.53","16:30",10971,3.83865227191838,"Sunday"
"173","17:00",11500,3.79319863089323,"Sunday"
"17.53","17:30",11047,3.77412513255567,"Sunday"
"183","18:00",11108,3.77828954255208,"Sunday"
